Altitude,count
1100,43
1200,42
1300,32
1400,32
4300,31
1500,30
1250,30
1700,28
1550,24
1600,23
1800,22
de 1600 a 1950 msnm,21
1750 msnm,21
1350,20
1450,15
1000,14
1650,12
890,11
1,11
4000,11
800++,10
1850,8
4000 psnm,7
1000m,7
442 msnm,7
1800 msnm,7
1500 msnm,6
1170,6
1450 msnm,6
1150,6
1100m,6
1260,6
1000 m,6
de 1.600 a 1.950 msnm,5
934,5
900,5
1050,5
1200-1400,5
442,5
1750,5
750m,5
1250m,4
940,4
5000 ft.,4
600 m,4
2800 ft,4
1400-1900,4
1300 msnm,4
1200m,4
4000 p.s.n.m.,4
5000,4
1200 m,4
1500-2000 m,4
1900,4
1000 msnm,3
200 m,3
1320,3
1880 msnm,3
4600 ft.,3
1400 msnm,3
1400-1500 m,3
950,3
1800 - 2000,3
1700m,3
3280,3
750,3
1200-1400 masl,3
1570-1700,3
850,3
1950-2200,3
1901,3
1400 masl,3
1200 msm,3
1200 mts,3
518,3
950m,3
1754,3
800,3
905,3
1500msnm,3
1800-2000,3
5440-5760 metros,2
700,2
1500-1800,2
150 m,2
1600 msnm,2
1600 m.s.n.m,2
4500,2
1.3,2
1248,2
1050 - 1850 msnm,2
1200 masl,2
4921ft,2
1400 m.s.n.m.,2
1040,2
1040m,2
1.250 m,2
650 m,2
900 m,2
5500-6000 psnm,2
200,2
1296,2
1800 m.s.n.m,2
990-1000m,2
1450 mals,2
650,2
1380,2
1100-1300,2
de 1.600 a 1.950 msn,2
1600 - 1950 msnm,2
1400 mts,2
894,2
1799,2
400-1250m,2
1300 a 1800 metros sobre el nivel del mar,2
1200-1600masl,2
1750 m.s.n.m,2
4000psn,2
1500 - 1700,2
350,2
1900m,2
1.2,2
1200 meters,2
1300m,2
4650,2
1500 meters,2
1950,2
1680,2
3000',2
1700-2000m,2
2000,2
250 m,2
1620m,2
1200-1800m,2
800 m,2
1488,2
above 1200 m,2
2136 msnm,2
1400 m,2
4000 p.s.n.m,2
1580,2
894m - 1183m,2
1500-1700m,2
1480,2
1550 msnm,2
750 m,1
1000 meters,1
190164,1
1.25,1
640m-1400m,1
750-800 m,1
1140,1
4000 ft,1
1280,1
1000+ meters,1
1599m,1
850 m,1
4500-6000 feet,1
160-200m,1
~350m,1
900-1500 masl,1
3500,1
280,1
de 1.600 a 1950 msnm,1
774,1
1300 a 1800 mtrs. a nivel del mar,1
40,1
1745,1
944,1
1300- 1400,1
1367,1
2500m,1
600m,1
1095,1
900-1300,1
3140,1
600-700 m,1
1050m,1
1020,1
1877,1
1600-1800 msnm,1
1000-1500m,1
981,1
690,1
973,1
4001,1
1350-1500,1
1200-1300,1
700m,1
1212,1
1556m,1
1550 meters,1
3170,1
900-950m,1
1050 - 1850,1
1550 meter,1
110公尺,1
900 m.s.n.m.,1
688 m,1
300 m,1
1186,1
1901.64,1
1300 to 1500 meters,1
3845,1
1210,1
850公尺,1
1100 - 1275 mts,1
100,1
3825,1
808,1
700 m,1
4287,1
500-700m,1
1100.00 mosl,1
3000 ft,1
1450 masl,1
995,1
1450m,1
600公尺,1
~1000 meters,1
6100 metros,1
1200-1500,1
1.85,1
4540 metros,1
50,1
3800,1
800-1200,1
between 700 and 1400 meters,1
1422,1
695,1
1550 mts.,1
1250 m,1
763,1
1600 meters,1
800m,1
1130,1
680,1
1400 msn,1
5000 f,1
100/2000,1
0,1
12oo,1
700m公尺,1
1100 m.o.s.l.,1
550公尺,1
5600 feet,1
1456,1
1500 mts,1
1642,1
758m,1
3500 - 5200 feet,1
1350 snn,1
1264,1
1525 m,1
1100 m,1
975,1
1022,1
3500 ft,1
1680m,1
1645,1
1144,1
3607,1
approx. 1'500 metres a.s.l.,1
1530,1
1545-1668 masl,1
de 900 a 1100 msnm,1
1565,1
3664,1
2560,1
1200-1600m,1
4400-4700 ft,1
3600-6200 ft,1
900-1200m,1
1200m to 1350m,1
test,1
mmm,1
968,1
1800m,1
5440 - 5760 metros,1
1550 m,1
1700 msnm,1
950公尺,1
2527,1
480-570m,1
1650-1703,1
800 meters above sea level,1
1218,1
1500-1600,1
1300 mts,1
1550-1700m,1
4451 metros,1
3702,1
1400m,1
2000 m,1
above 1100m,1
1450 ~ 1700 m,1
1400ft,1
1800-2200,1
1795-1850,1
1855-1955,1
meters above sea level: 1.872,1
meters above sea level: 1.943,1
2000 ft,1
meters above sea level: 2.080,1
meters above sea level: 2.019,1
meters above sea level: 2.112,1
1750-1800,1
meters above sea level: 1.941,1
900-1500m,1
1520m-2200m,1
1400-1900m,1
1700 mts,1
1600 a 1900 msnm,1
1300~1400 m.s.l,1
5600-5760 metros,1
1770,1
above 1600 m,1
1250-1400 meter,1
1400 msm,1
2.560 msnm,1
-1,1
3500-5200 feet,1
800-1050m,1
170,1
1750m,1
1700-1850m,1
4000 psn,1
1600 on average,1
1850 msnm,1
439,1
900-1050m,1
1300 meters,1
11000 metros,1
1200-2000m,1
1800 mts,1
1400 meter above sea level,1
1442 m,1
1.65,1
1400 thru 1850,1
1200公尺,1
1400- 1900,1
1240 m,1
1800 meters (5900,1
1200-1300m dpl,1
1317,1
1679,1
1600 + meters above sea level,1
2285,1
huanuco,1
1560,1
1396,1
982,1
1268,1
5500 metros,1
1450 m,1
441,1
1200 a 1400,1
1180m,1
1338,1
533,1
4563,1
1059,1
775,1
1330,1
approx.1'500 metres a.s.l.,1
1813,1
900-1200mtr,1
1227,1
1650 msnm,1
4200 feet,1
1880,1
2100,1
1261,1
800公尺,1
1483,1
175,1
1600-1800msnm,1
16.8,1
1400-1900 psn,1
1653,1
1500-1750 msnm,1
1450 msnn,1
5000 pies,1
532,1
1089,1
900m,1
1850 m,1
700-800m,1
1300 m,1
1300-1400m,1
872,1
1473,1
1600 - 1800 m,1
4500 pies,1
900-1100,1
795 meters,1
