,Bag_Weight
0,60 kg
1,60 kg
2,1
3,60 kg
4,60 kg
5,30 kg
6,69 kg
7,60 kg
8,60 kg
9,60 kg
10,60 kg
11,1 kg
12,1 kg
13,1
14,60 kg
15,1 kg
16,"2 kg,lbs"
17,6
18,60 kg
19,60 kg
20,1 kg
21,3 lbs
22,1 kg
23,1 kg
24,60 kg
25,60 kg
26,6
27,60 kg
28,69 kg
29,50 kg
30,6
31,60 kg
32,60 kg
33,2 lbs
34,60 kg
35,1 kg
36,100 lbs
37,100 lbs
38,6
39,1 kg
40,1 kg
41,60 kg
42,60 kg
43,15 kg
44,60 kg
45,60 kg
46,60 kg
47,2 kg
48,1 kg
49,60 kg
50,6
51,2
52,69 kg
53,60 kg
54,70 kg
55,60 kg
56,60 kg
57,1 kg
58,1 kg
59,19200 kg
60,5 lbs
61,60 kg
62,2 kg
63,1 kg
64,100 lbs
65,60 kg
66,60 kg
67,60 kg
68,60 kg
69,69 kg
70,60 kg
71,60 kg
72,100 lbs
73,60 kg
74,"1 kg,lbs"
75,60 kg
76,30 kg
77,3 lbs
78,3 lbs
79,60 kg
80,60 kg
81,6 kg
82,6
83,69 kg
84,70 kg
85,70 kg
86,60 kg
87,1 kg
88,19200 kg
89,70 kg
90,60 kg
91,100 lbs
92,70 kg
93,100 lbs
94,6
95,0 lbs
96,60 kg
97,70 kg
98,46 kg
99,30 kg
100,60 kg
101,60 kg
102,60 kg
103,1 kg
104,100 lbs
105,69 kg
106,70 kg
107,70 kg
108,40 kg
109,60 kg
110,70 kg
111,1 kg
112,60 kg
113,60 kg
114,60 kg
115,20 kg
116,60 kg
117,100 lbs
118,6
119,6
120,50 kg
121,60 kg
122,1 kg
123,69 kg
124,6
125,69 kg
126,1 kg
127,1 kg
128,69 kg
129,34 kg
130,1 lbs
131,30 kg
132,69 kg
133,1 kg
134,2 kg
135,30 kg
136,70 kg
137,60 kg
138,1 kg
139,1 kg
140,1 kg
141,60 kg
142,60 kg
143,6
144,60 kg
145,70 kg
146,70 kg
147,60 kg
148,69 kg
149,69 kg
150,70 kg
151,70 kg
152,660 kg
153,70 kg
154,1 kg
155,70 kg
156,60 kg
157,60 kg
158,18975 kg
159,12000 kg
160,60 kg
161,1 lbs
162,2 kg
163,2 kg
164,69 kg
165,60 kg
166,1 kg
167,1 kg
168,69 kg
169,60 kg
170,60 kg
171,69 kg
172,30 kg
173,35 kg
174,70 kg
175,2 kg
176,100 lbs
177,1 kg
178,6 kg
179,60 kg
180,66 kg
181,70 kg
182,69 kg
183,70 kg
184,70 kg
185,70 kg
186,80 kg
187,60 kg
188,60 kg
189,132 lbs
190,1
191,5 kg
192,25 kg
193,70 kg
194,69 kg
195,69 kg
196,60 kg
197,70 kg
198,70 kg
199,2 kg
200,70 kg
201,60 kg
202,60 kg
203,69 kg
204,70 kg
205,100 lbs
206,1 kg
207,1 kg
208,1 kg
209,60 kg
210,69 kg
211,70 kg
212,69 kg
213,69 kg
214,69 kg
215,69 kg
216,70 kg
217,2 kg
218,59 kg
219,69 kg
220,60 kg
221,60 kg
222,1 kg
223,5 lbs
224,18000 kg
225,2 kg
226,69 kg
227,2 kg
228,70 kg
229,1 kg
230,60 kg
231,2 kg
232,70 kg
233,20 kg
234,69 kg
235,70 kg
236,2 kg
237,100 lbs
238,1 kg
239,60 kg
240,150 lbs
241,60 kg
242,66 kg
243,69 kg
244,1 kg
245,69 kg
246,69 kg
247,1 kg
248,70 kg
249,70 kg
250,60 kg
251,60 kg
252,70 kg
253,60 kg
254,1 kg
255,9000 kg
256,60 kg
257,60 kg
258,60 kg
259,69 kg
260,40 kg
261,60 kg
262,50 kg
263,70 kg
264,70 kg
265,2 kg
266,2 kg
267,2 kg
268,70 kg
269,60 kg
270,70 kg
271,1 kg
272,1 kg
273,1 kg
274,70 kg
275,70 kg
276,69 kg
277,69 kg
278,30 kg
279,2 kg
280,18 kg
281,60 kg
282,2 kg
283,1 kg
284,69 kg
285,60 kg
286,5 lbs
287,70 kg
288,69 kg
289,1 kg
290,1 kg
291,1 kg
292,50 kg
293,60 kg
294,6
295,60 kg
296,60 kg
297,70 kg
298,10 kg
299,70 kg
300,60 kg
301,70 kg
302,60 kg
303,5 lbs
304,70 kg
305,70 kg
306,70 kg
307,70 kg
308,100 lbs
309,1 kg
310,3 lbs
311,70 kg
312,70 kg
313,1
314,60 kg
315,60 kg
316,69 kg
317,69 kg
318,60 kg
319,50 kg
320,69 kg
321,1 kg
322,2 lbs
323,69 kg
324,70 kg
325,70 kg
326,69 kg
327,69 kg
328,70 kg
329,1 kg
330,1 kg
331,1 kg
332,60 kg
333,69 kg
334,100 lbs
335,60 kg
336,69 kg
337,70 kg
338,60 kg
339,70 kg
340,2 kg
341,60 kg
342,60 kg
343,70 kg
344,70 kg
345,70 kg
346,30 kg
347,70 kg
348,1 kg
349,70 kg
350,60 kg
351,70 kg
352,10 kg
353,69 kg
354,70 kg
355,69 kg
356,70 kg
357,60 kg
358,30 kg
359,60 kg
360,2 kg
361,70 kg
362,1 kg
363,70 kg
364,1 kg
365,70 kg
366,70 kg
367,1 kg
368,1 kg
369,1 kg
370,69 kg
371,70 kg
372,2 kg
373,100 lbs
374,60 kg
375,29 kg
376,69 kg
377,29 kg
378,69 kg
379,10 kg
380,1218 kg
381,25 kg
382,69 kg
383,70 kg
384,60 kg
385,60 kg
386,70 kg
387,69 kg
388,69 kg
389,69 kg
390,100 lbs
391,70 kg
392,70 kg
393,60 kg
394,1 lbs
395,6
396,70 kg
397,70 kg
398,70 kg
399,2 kg
400,1 kg
401,70 kg
402,60 kg
403,1 kg
404,3 lbs
405,100 lbs
406,1 kg
407,5 lbs
408,4 lbs
409,70 kg
410,69 kg
411,100 lbs
412,60 kg
413,70 kg
414,100 lbs
415,100 lbs
416,50 kg
417,46 kg
418,69 kg
419,0 kg
420,9000 kg
421,60 kg
422,35 kg
423,2 kg
424,15 kg
425,60 kg
426,70 kg
427,69 kg
428,70 kg
429,1 kg
430,100 lbs
431,1 kg
432,1 kg
433,1 kg
434,60 kg
435,70 kg
436,70 kg
437,70 kg
438,70 kg
439,70 kg
440,60 kg
441,69 kg
442,60 kg
443,13800 kg
444,2 kg
445,1500 kg
446,69 kg
447,60 kg
448,60 kg
449,69 kg
450,69 kg
451,69 kg
452,2 kg
453,1 kg
454,60 kg
455,70 kg
456,60 kg
457,4 lbs
458,1 kg
459,1 kg
460,69 kg
461,100 lbs
462,1 kg
463,69 kg
464,1 kg
465,1 kg
466,1 kg
467,70 kg
468,1 kg
469,70 kg
470,1 kg
471,60 kg
472,60 kg
473,2 kg
474,60 kg
475,60 kg
476,69 kg
477,6
478,70 kg
479,70 kg
480,60 kg
481,2 kg
482,60 kg
483,60 kg
484,2 kg
485,1 kg
486,100 lbs
487,30 kg
488,100 lbs
489,1 kg
490,100 lbs
491,100 lbs
492,70 kg
493,70 kg
494,60 kg
495,69 kg
496,60 kg
497,60 kg
498,60 kg
499,60 kg
500,60 kg
501,70 kg
502,2 kg
503,69 kg
504,69 kg
505,69 kg
506,2 kg
507,60 kg
508,60 kg
509,5 lbs
510,69 kg
511,1 kg
512,2 kg
513,70 kg
514,70 kg
515,70 kg
516,70 kg
517,70 kg
518,1 kg
519,1 kg
520,1 kg
521,70 kg
522,70 kg
523,70 kg
524,1 kg
525,1 kg
526,60 kg
527,70 kg
528,100 lbs
529,100 lbs
530,70 kg
531,6
532,1 lbs
533,60 kg
534,69 kg
535,70 kg
536,20 kg
537,60 kg
538,2 kg
539,2 kg
540,2 kg
541,2 kg
542,2 kg
543,2 kg
544,60 kg
545,60 kg
546,69 kg
547,69 kg
548,2 kg
549,70 kg
550,70 kg
551,69 kg
552,70 kg
553,1 kg
554,2 kg
555,1 kg
556,100 lbs
557,70 kg
558,1 lbs
559,50 kg
560,69 kg
561,60 kg
562,69 kg
563,60 kg
564,2 kg
565,69 kg
566,60 kg
567,24 kg
568,60 kg
569,69 kg
570,1 kg
571,70 kg
572,2 kg
573,1 kg
574,1 kg
575,1 kg
576,1 kg
577,69 kg
578,69 kg
579,69 kg
580,69 kg
581,69 kg
582,69 kg
583,1 kg
584,69 kg
585,10 kg
586,69 kg
587,69 kg
588,69 kg
589,60 kg
590,60 kg
591,60 kg
592,70 kg
593,60 kg
594,69 kg
595,1 kg
596,80 lbs
597,100 lbs
598,1 kg
599,1 kg
600,1 kg
601,1 kg
602,70 kg
603,70 kg
604,100 lbs
605,2 kg
606,1
607,60 kg
608,60 kg
609,50 kg
610,69 kg
611,8 kg
612,2 kg
613,2 kg
614,60 kg
615,60 kg
616,60 kg
617,60 kg
618,1 kg
619,60 kg
620,30 kg
621,60 kg
622,70 kg
623,1 kg
624,69 kg
625,1 kg
626,1 kg
627,1 kg
628,1 kg
629,100 lbs
630,1 kg
631,70 kg
632,70 kg
633,69 kg
634,5 kg
635,59 kg
636,10 kg
637,60 kg
638,2 kg
639,1 kg
640,20 kg
641,60 kg
642,60 kg
643,1 kg
644,5 lbs
645,2 kg
646,70 kg
647,70 kg
648,70 kg
649,1 kg
650,1 kg
651,70 kg
652,60 kg
653,60 kg
654,1 kg
655,69 kg
656,69 kg
657,1 kg
658,20 kg
659,60 kg
660,60 kg
661,2 kg
662,60 kg
663,69 kg
664,70 kg
665,69 kg
666,1 kg
667,1 kg
668,1 kg
669,1 kg
670,60 kg
671,70 kg
672,100 lbs
673,1
674,2 kg
675,69 kg
676,69 kg
677,69 kg
678,69 kg
679,70 kg
680,60 kg
681,60 kg
682,60 kg
683,2 kg
684,1 kg
685,1 kg
686,60 kg
687,5 lbs
688,60 kg
689,1 kg
690,2 kg
691,70 kg
692,1 kg
693,1 kg
694,1 kg
695,1 kg
696,1 kg
697,1 kg
698,1 kg
699,1 kg
700,1 kg
701,70 kg
702,60 kg
703,70 kg
704,70 kg
705,69 kg
706,2 kg
707,59 kg
708,60 kg
709,69 kg
710,69 kg
711,60 kg
712,2 kg
713,60 kg
714,69 kg
715,60 kg
716,2 kg
717,69 kg
718,5 lbs
719,3 kg
720,20 kg
721,30 kg
722,69 kg
723,70 kg
724,1 kg
725,1 kg
726,69 kg
727,1 kg
728,1 kg
729,1 kg
730,60 kg
731,1 kg
732,60 kg
733,70 kg
734,5 kg
735,10 kg
736,69 kg
737,2 kg
738,1 kg
739,1 kg
740,60 kg
741,2 kg
742,60 kg
743,1 kg
744,100 lbs
745,1 kg
746,69 kg
747,1 kg
748,1 kg
749,1 kg
750,1 kg
751,1 kg
752,70 kg
753,70 kg
754,60 kg
755,70 kg
756,60 kg
757,69 kg
758,69 kg
759,80 kg
760,60 kg
761,2 kg
762,1 kg
763,1 kg
764,69 kg
765,60 kg
766,60 kg
767,1 kg
768,2 kg
769,60 kg
770,10 kg
771,70 kg
772,1 kg
773,1 kg
774,1 kg
775,1 kg
776,70 kg
777,1 kg
778,70 kg
779,60 kg
780,2 kg
781,350 kg
782,2 kg
783,60 kg
784,5 lbs
785,69 kg
786,100 lbs
787,1 kg
788,1 kg
789,1 kg
790,2 kg
791,1 kg
792,100 lbs
793,70 kg
794,69 kg
795,69 kg
796,60 kg
797,80 kg
798,2 kg
799,60 kg
800,60 kg
801,20 kg
802,1 kg
803,1 kg
804,69 kg
805,70 kg
806,10 kg
807,2 kg
808,1 kg
809,60 kg
810,60 kg
811,1 kg
812,60 kg
813,2 kg
814,70 kg
815,69 kg
816,69 kg
817,67 kg
818,59 kg
819,69 kg
820,69 kg
821,60 kg
822,5 lbs
823,2 kg
824,2 kg
825,30 kg
826,1 kg
827,1 kg
828,1 kg
829,1 kg
830,1 kg
831,60 kg
832,70 kg
833,69 kg
834,46 kg
835,59 kg
836,30 kg
837,69 kg
838,2 kg
839,2 kg
840,2 kg
841,2 kg
842,1 kg
843,18975 kg
844,5 kg
845,10 kg
846,60 kg
847,2 kg
848,1 kg
849,2 kg
850,70 kg
851,100 lbs
852,60 kg
853,69 kg
854,1 kg
855,1 kg
856,60 kg
857,70 kg
858,0 lbs
859,69 kg
860,2 kg
861,60 kg
862,5 lbs
863,1 kg
864,1 kg
865,1 kg
866,1 kg
867,1 kg
868,70 kg
869,70 kg
870,60 kg
871,69 kg
872,69 kg
873,69 kg
874,60 kg
875,69 kg
876,70 kg
877,2 kg
878,60 kg
879,60 kg
880,2 kg
881,4 kg
882,1 kg
883,69 kg
884,5 lbs
885,30 kg
886,30 kg
887,1 kg
888,69 kg
889,1 kg
890,1 kg
891,1 kg
892,1 kg
893,1 kg
894,100 lbs
895,69 kg
896,69 kg
897,50 kg
898,69 kg
899,60 kg
900,60 kg
901,20 kg
902,60 kg
903,69 kg
904,1 kg
905,1 kg
906,1 kg
907,50 kg
908,60 kg
909,60 kg
910,69 kg
911,69 kg
912,69 kg
913,69 kg
914,2 kg
915,1 kg
916,1 kg
917,60 kg
918,69 kg
919,20 kg
920,60 kg
921,4 lbs
922,30 kg
923,1 kg
924,1 kg
925,1 kg
926,1 kg
927,80 kg
928,1 kg
929,60 kg
930,1 kg
931,1 kg
932,70 kg
933,1
934,69 kg
935,69 kg
936,60 kg
937,1 kg
938,60 kg
939,60 kg
940,2 kg
941,69 kg
942,2 kg
943,5 lbs
944,69 kg
945,1 kg
946,1 kg
947,70 kg
948,70 kg
949,0 lbs
950,70 kg
951,69 kg
952,69 kg
953,60 kg
954,1 kg
955,60 kg
956,2 kg
957,60 kg
958,1 kg
959,1 kg
960,1 kg
961,5 kg
962,50 kg
963,2 kg
964,69 kg
965,1 kg
966,55 lbs
967,60 kg
968,30 kg
969,69 kg
970,1 kg
971,69 kg
972,60 kg
973,1 kg
974,18975 kg
975,1 kg
976,20 kg
977,2 kg
978,60 kg
979,60 kg
980,1 kg
981,1 kg
982,1 kg
983,1 kg
984,60 kg
985,100 lbs
986,60 kg
987,60 kg
988,69 kg
989,5 lbs
990,60 kg
991,1 kg
992,5 lbs
993,1 kg
994,1 kg
995,1 kg
996,1 kg
997,100 lbs
998,59 kg
999,69 kg
1000,59 kg
1001,69 kg
1002,70 kg
1003,69 kg
1004,5 kg
1005,18975 kg
1006,60 kg
1007,60 kg
1008,60 kg
1009,30 kg
1010,1 kg
1011,1 kg
1012,1 kg
1013,1 kg
1014,69 kg
1015,60 kg
1016,69 kg
1017,2 kg
1018,100 lbs
1019,60 kg
1020,60 kg
1021,60 kg
1022,2 kg
1023,1 lbs
1024,69 kg
1025,30 kg
1026,30 kg
1027,20 kg
1028,1 kg
1029,1 lbs
1030,50 kg
1031,1 kg
1032,1 kg
1033,1 kg
1034,1 kg
1035,100 lbs
1036,70 kg
1037,60 kg
1038,2 kg
1039,69 kg
1040,69 kg
1041,1 kg
1042,60 kg
1043,1 kg
1044,1 kg
1045,3 lbs
1046,1 kg
1047,2 kg
1048,2 lbs
1049,1 kg
1050,30 kg
1051,60 kg
1052,1 kg
1053,60 kg
1054,1 kg
1055,70 kg
1056,69 kg
1057,1 kg
1058,1 kg
1059,70 kg
1060,60 kg
1061,69 kg
1062,60 kg
1063,2 kg
1064,69 kg
1065,69 kg
1066,100 lbs
1067,70 kg
1068,5 kg
1069,69 kg
1070,69 kg
1071,2 kg
1072,60 kg
1073,2 kg
1074,69 kg
1075,60 kg
1076,100 lbs
1077,1 kg
1078,1 kg
1079,69 kg
1080,60 kg
1081,2 kg
1082,2 kg
1083,30 kg
1084,1 kg
1085,1 kg
1086,60 kg
1087,60 kg
1088,60 kg
1089,30 kg
1090,69 kg
1091,1 kg
1092,100 lbs
1093,6
1094,59 kg
1095,69 kg
1096,69 kg
1097,2 kg
1098,2 kg
1099,69 kg
1100,100 lbs
1101,2 kg
1102,30 kg
1103,1 kg
1104,1 kg
1105,2 kg
1106,2 kg
1107,1 kg
1108,69 kg
1109,1 kg
1110,1 kg
1111,1 kg
1112,1 kg
1113,100 lbs
1114,60 kg
1115,60 kg
1116,5 lbs
1117,30 kg
1118,30 kg
1119,30 kg
1120,1 kg
1121,1 kg
1122,69 kg
1123,2 kg
1124,2 kg
1125,30 kg
1126,1 kg
1127,1 kg
1128,1 kg
1129,6
1130,2 kg
1131,100 kg
1132,1 kg
1133,1 kg
1134,1 kg
1135,1 kg
1136,1 kg
1137,1 kg
1138,100 lbs
1139,12000 kg
1140,69 kg
1141,2 kg
1142,1 kg
1143,100 lbs
1144,69 kg
1145,50 kg
1146,20 kg
1147,1 kg
1148,5 lbs
1149,2 kg
1150,1 kg
1151,1 kg
1152,1 kg
1153,1 kg
1154,1 kg
1155,69 kg
1156,1 kg
1157,69 kg
1158,69 kg
1159,1 kg
1160,69 kg
1161,1 kg
1162,1 kg
1163,1 kg
1164,1 lbs
1165,1 kg
1166,1 kg
1167,70 kg
1168,69 kg
1169,69 kg
1170,2 kg
1171,70 kg
1172,1 kg
1173,1 kg
1174,69 kg
1175,69 kg
1176,1 kg
1177,1 kg
1178,3 lbs
1179,1 kg
1180,1 kg
1181,1 kg
1182,20 kg
1183,1 kg
1184,69 kg
1185,69 kg
1186,69 kg
1187,69 kg
1188,2 kg
1189,1 kg
1190,1 kg
1191,6
1192,69 kg
1193,5 lbs
1194,1 kg
1195,1 kg
1196,1 kg
1197,70 kg
1198,69 kg
1199,2 kg
1200,69 kg
1201,1 kg
1202,1 kg
1203,1 kg
1204,1 kg
1205,1 kg
1206,1 kg
1207,2 lbs
1208,69 kg
1209,1 kg
1210,1 kg
1211,1 kg
1212,2 kg
1213,1 kg
1214,69 kg
1215,2 kg
1216,69 kg
1217,20 kg
1218,1 kg
1219,1 kg
1220,100 lbs
1221,69 kg
1222,1 kg
1223,1 kg
1224,60 kg
1225,1 kg
1226,100 lbs
1227,69 kg
1228,1 kg
1229,1 kg
1230,1 kg
1231,100 lbs
1232,100 lbs
1233,1 kg
1234,1 kg
1235,10 kg
1236,2 kg
1237,100 lbs
1238,69 kg
1239,2 kg
1240,69 kg
1241,1 kg
1242,70 kg
1243,1 kg
1244,1 kg
1245,1 kg
1246,69 kg
1247,5 lbs
1248,1 kg
1249,10 kg
1250,100 lbs
1251,1 kg
1252,1 kg
1253,60 kg
1254,69 kg
1255,1 kg
1256,4 lbs
1257,2 lbs
1258,1 kg
1259,2 kg
1260,50 kg
1261,6
1262,2 kg
1263,1 kg
1264,69 kg
1265,2 kg
1266,100 lbs
1267,100 lbs
1268,1 kg
1269,2 kg
1270,1 kg
1271,2 kg
1272,2 kg
1273,59 kg
1274,1 kg
1275,1 kg
1276,1 kg
1277,1 kg
1278,1 kg
1279,1 kg
1280,1 kg
1281,1 kg
1282,1 kg
1283,1 kg
1284,1 kg
1285,1 kg
1286,100 lbs
1287,69 kg
1288,1 kg
1289,1 kg
1290,1 kg
1291,100 lbs
1292,60 kg
1293,2 kg
1294,69 kg
1295,5 lbs
1296,100 lbs
1297,130 lbs
1298,1 kg
1299,1 kg
1300,1 kg
1301,2 kg
1302,59 kg
1303,1 kg
1304,1 kg
1305,1 kg
1306,1 kg
1307,2 kg
1308,69 kg
1309,1 kg
1310,69 kg
1311,60 kg
1312,60 kg
1313,2 kg
1314,60 kg
1315,60 kg
1316,1 kg
1317,2 kg
1318,60 kg
1319,60 kg
1320,60 kg
1321,60 kg
1322,60 kg
1323,2 kg
1324,60 kg
1325,60 kg
1326,1 kg
1327,2 kg
1328,60 kg
1329,60 kg
1330,60 kg
1331,2 kg
1332,2 kg
1333,1 kg
1334,2 kg
1335,2 kg
1336,1 kg
1337,5 lbs
1338,5 lbs
